time,cmd_type_1,cmd_type_2,stock,nb_cmd,deliv,incoming,perte_magasin,en_attente
0,0,0,5,0,0,0,0,0
14,1,0,5,1,1,0,0,0
24,0,30,4,30,0,0,0,30
25,0,0,-26,0,0,180,0,0
49,1,0,154,1,1,0,0,0
50,1,0,153,1,1,0,0,0
56,0,30,152,30,30,0,0,0
67,1,0,122,1,1,0,0,0
72,0,30,121,30,30,0,0,0
90,1,0,91,1,1,0,0,0
96,1,0,90,1,1,0,0,0
100,0,30,89,30,30,0,0,0
108,1,0,59,1,1,0,0,0
117,0,30,58,30,30,0,0,0
127,1,0,28,1,1,0,0,0
139,1,0,27,1,1,0,0,0
144,0,30,26,30,0,0,0,30
149,1,0,26,1,1,0,0,30
167,1,0,25,1,1,0,0,30
182,0,30,24,30,0,0,0,60
190,1,0,24,1,1,0,0,60
199,1,0,23,1,1,0,0,60
205,0,30,22,30,0,0,0,90
217,1,0,22,1,1,0,0,90
222,0,30,21,30,0,0,0,120
237,1,0,21,1,1,0,0,120
243,1,0,20,1,1,0,0,120
257,1,0,19,1,1,0,0,120
260,0,30,18,30,0,0,0,150
282,1,0,18,1,1,0,0,150
288,0,30,17,30,0,0,0,180
301,1,0,17,1,1,0,0,180
318,1,0,16,1,1,0,0,180
319,0,30,15,30,0,0,0,210
340,1,0,15,1,1,0,0,210
349,0,30,14,30,0,0,0,240
360,1,0,14,1,1,0,0,240
365,0,30,13,30,0,0,0,270
366,1,0,13,1,1,0,0,270
389,1,0,12,1,1,0,0,270
390,0,30,11,30,0,0,0,300
397,1,0,11,1,1,0,0,300
426,1,0,10,1,1,0,0,300
431,1,0,9,1,1,0,0,300
440,0,30,8,30,0,0,0,330
456,1,0,8,1,1,0,0,330
457,1,0,7,1,1,0,0,330
483,1,0,6,1,1,0,0,330
491,0,30,5,30,0,0,0,360
497,1,0,5,1,1,0,0,360
505,1,0,4,1,1,0,0,360
506,0,0,-357,0,0,180,0,0
507,0,30,-177,30,0,0,0,30
508,0,0,-207,0,0,180,0,0
513,1,0,-27,1,0,0,1,0
514,0,0,-27,0,0,180,0,0
524,1,0,153,1,1,0,0,0
527,0,30,152,30,30,0,0,0
543,1,0,122,1,1,0,0,0
552,1,0,121,1,1,0,0,0
562,0,30,120,30,30,0,0,0
568,1,0,90,1,1,0,0,0
580,1,0,89,1,1,0,0,0
586,0,30,88,30,30,0,0,0
597,0,30,58,30,30,0,0,0
599,1,0,28,1,1,0,0,0
611,1,0,27,1,1,0,0,0
623,1,0,26,1,1,0,0,0
634,0,30,25,30,0,0,0,30
640,1,0,25,1,1,0,0,30
653,1,0,24,1,1,0,0,30
653,1,0,23,1,1,0,0,30
674,0,30,22,30,0,0,0,60
684,1,0,22,1,1,0,0,60
704,0,30,21,30,0,0,0,90
707,1,0,21,1,1,0,0,90
722,1,30,20,31,1,0,0,120
732,1,0,19,1,1,0,0,120
737,0,30,18,30,0,0,0,150
742,1,0,18,1,1,0,0,150
753,0,30,17,30,0,0,0,180
764,1,0,17,1,1,0,0,180
771,1,0,16,1,1,0,0,180
785,0,30,15,30,0,0,0,210
791,1,0,15,1,1,0,0,210
803,1,0,14,1,1,0,0,210
813,1,0,13,1,1,0,0,210
825,1,0,12,1,1,0,0,210
832,0,30,11,30,0,0,0,240
844,0,30,11,30,0,0,0,270
845,1,0,11,1,1,0,0,270
853,1,0,10,1,1,0,0,270
873,1,0,9,1,1,0,0,270
876,0,30,8,30,0,0,0,300
877,1,0,8,1,1,0,0,300
887,1,0,7,1,1,0,0,300
891,1,0,6,1,1,0,0,300
904,0,30,5,30,0,0,0,330
917,1,0,5,1,1,0,0,330
918,1,0,4,1,1,0,0,330
919,0,0,-327,0,0,180,0,0
930,0,30,-147,30,0,0,0,30
931,0,0,-177,0,0,180,0,0
943,1,0,3,1,1,0,0,0
944,0,0,2,0,0,180,0,0
961,0,30,182,30,30,0,0,0
966,1,0,152,1,1,0,0,0
970,1,0,151,1,1,0,0,0
